"licenseId","name","reference","active"
"CC-BY-NC-ND-2.0","Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic","https://spdx.org/licenses/CC-BY-NC-ND-2.0.html","true"
"CC-BY-NC-ND-2.5","Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic","https://spdx.org/licenses/CC-BY-NC-ND-2.5.html","true"
"CC-BY-NC-ND-3.0","Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported","https://spdx.org/licenses/CC-BY-NC-ND-3.0.html","true"
"CC-BY-NC-ND-3.0-DE","Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany","https://spdx.org/licenses/CC-BY-NC-ND-3.0-DE.html","true"
"CC-BY-NC-ND-3.0-IGO","Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO","https://spdx.org/licenses/CC-BY-NC-ND-3.0-IGO.html","true"
"CC-BY-NC-ND-4.0","Creative Commons Attribution Non Commercial No Derivatives 4.0 International","https://spdx.org/licenses/CC-BY-NC-ND-4.0.html","true"
"CC-BY-NC-SA-1.0","Creative Commons Attribution Non Commercial Share Alike 1.0 Generic","https://spdx.org/licenses/CC-BY-NC-SA-1.0.html","true"
"CC-BY-NC-SA-2.0","Creative Commons Attribution Non Commercial Share Alike 2.0 Generic","https://spdx.org/licenses/CC-BY-NC-SA-2.0.html","true"
"CC-BY-NC-SA-2.0-DE","Creative Commons Attribution Non Commercial Share Alike 2.0 Germany","https://spdx.org/licenses/CC-BY-NC-SA-2.0-DE.html","true"
"CC-BY-NC-SA-2.0-FR","Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France","https://spdx.org/licenses/CC-BY-NC-SA-2.0-FR.html","true"
"CC-BY-NC-SA-2.0-UK","Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales","https://spdx.org/licenses/CC-BY-NC-SA-2.0-UK.html","true"
"CC-BY-NC-SA-2.5","Creative Commons Attribution Non Commercial Share Alike 2.5 Generic","https://spdx.org/licenses/CC-BY-NC-SA-2.5.html","true"
"CC-BY-NC-SA-3.0","Creative Commons Attribution Non Commercial Share Alike 3.0 Unported","https://spdx.org/licenses/CC-BY-NC-SA-3.0.html","true"
"CC-BY-NC-SA-3.0-DE","Creative Commons Attribution Non Commercial Share Alike 3.0 Germany","https://spdx.org/licenses/CC-BY-NC-SA-3.0-DE.html","true"
"CC-BY-NC-SA-3.0-IGO","Creative Commons Attribution Non Commercial Share Alike 3.0 IGO","https://spdx.org/licenses/CC-BY-NC-SA-3.0-IGO.html","true"
"CC-BY-NC-SA-4.0","Creative Commons Attribution Non Commercial Share Alike 4.0 International","https://spdx.org/licenses/CC-BY-NC-SA-4.0.html","true"
"CC-BY-ND-1.0","Creative Commons Attribution No Derivatives 1.0 Generic","https://spdx.org/licenses/CC-BY-ND-1.0.html","true"
"CC-BY-ND-2.0","Creative Commons Attribution No Derivatives 2.0 Generic","https://spdx.org/licenses/CC-BY-ND-2.0.html","true"
"CC-BY-ND-2.5","Creative Commons Attribution No Derivatives 2.5 Generic","https://spdx.org/licenses/CC-BY-ND-2.5.html","true"
"CC-BY-ND-3.0","Creative Commons Attribution No Derivatives 3.0 Unported","https://spdx.org/licenses/CC-BY-ND-3.0.html","true"
"CC-BY-ND-3.0-DE","Creative Commons Attribution No Derivatives 3.0 Germany","https://spdx.org/licenses/CC-BY-ND-3.0-DE.html","true"
"CC-BY-ND-4.0","Creative Commons Attribution No Derivatives 4.0 International","https://spdx.org/licenses/CC-BY-ND-4.0.html","true"
"CC-BY-SA-1.0","Creative Commons Attribution Share Alike 1.0 Generic","https://spdx.org/licenses/CC-BY-SA-1.0.html","true"
"CC-BY-SA-2.0","Creative Commons Attribution Share Alike 2.0 Generic","https://spdx.org/licenses/CC-BY-SA-2.0.html","true"
"CC-BY-SA-2.0-UK","Creative Commons Attribution Share Alike 2.0 England and Wales","https://spdx.org/licenses/CC-BY-SA-2.0-UK.html","true"
